mmsi,lat,lon,tradetype,callsign,hdg,trail,laststa,lastdyn,imo,satelliteutc,type,left,length,matchtype,draught,dest,width,name,cog,rot,navistatus,cnname,source,sog,eta,shipid
413434590,37669010,121857375,1,BLAL6,12800,250,1643548893,1643616003,0,0,70,130,1450,1,8000,GUI SHAN            ,210,SHI JI FANG ZHOU 6,12700,0,0,世纪方舟6,0,5710,02-05 23:00,BDE1D39584A2C0B4
413333408,38973345,118506461,99,,32800,0,0,1610073336,,0,0,0,0,0,0,,0,,18500,0,5,,0,0,,E478498BE2527A44
413912000,40292800,122094097,1,BCEG,5600,200,1643375779,1643624545,0,0,70,100,1490,1,4500,"BAYUQUAN,CN",210,JIANG HAI SHUN,5040,0,5,江海顺,0,0,01-29 23:00,9437C64899AD5AE8
372913000,38868971,118010953,2,3EVP4,29500,290,1643616518,1643625010,9222340,0,70,100,1910,0,11100,"TIANJIN,CN",320,AVIGATOR,4420,-24,1,,0,309,01-25 23:30,DC1B427D68BB407E
413326080,38996493,118511822,1,BBCI9,34000,270,1643186479,1643624289,0,0,70,120,970,1,3800,"CAOFEIDIAN,CN",160,HUA SHUN DA 9,0,0,5,华顺达9,0,0,01-26 17:30,9DE8E609E60E87AE
413354480,27496820,120946567,1,BHMC,20900,200,1643397841,1643625057,0,0,70,100,970,1,5900,"FOSHAN,CN",160,SHUN QIANG 7,21260,0,0,顺强7,0,5093,02-08 12:00,6B1866E5A5695E09
414561000,25733673,131997138,2,BOTO2,51100,310,1643527477,1643012196,9268954,1643623284,70,180,2280,0,7300,"ABBOT POINT,AU",360,JR SUMMER,15210,0,0,,0,7562,02-04 06:00,91A9DC75FA274712
477312900,40275694,122105597,2,VRSQ6,17900,220,1643605737,1643624822,9520924,0,70,210,1900,0,6200,BAYUQUAN CHINA      ,320,SHARK ISLAND,35320,0,5,,0,0,01-20 01:00,6C42284AF46713DC
413302340,38890740,117924356,1,VO,27900,180,1643535366,1643624975,0,0,80,50,850,1,4500,"TIANJIN,CN",120,HUI FENG YOU 15,0,0,1,汇丰油15,0,0,01-30 19:02,0AA8378E441EF07A
538008734,39010934,117726090,2,V7A2703,28900,290,1643549255,1643624500,9581784,0,70,110,2000,0,6800,"TIANJIN,CN",320,ALMIRA,8640,0,5,,0,0,01-30 16:00,631D7260A0BE98D7
413311120,39246526,119021742,99,,51100,50,1642118499,1643624905,0,0,90,30,270,0,0,,60,HONGJIHAIGONG17,28670,0,0,,0,0,01-01 00:00,88F30E4E996486D5
538003561,22042154,116947387,2,V7RQ2,21100,240,1643442420,1643616888,9519016,0,70,120,1900,1,12100,"JURONG,SG",320,XIN HAI TONG 17,21700,0,0,新海通17,0,5659,02-05 08:00,6A3F8023171F1B84
413359564,39006541,118515708,99,,14700,540,1563970284,1641095661,0,0,70,60,620,1,0,,130,HONG XU 1,13510,0,5,宏旭1,0,0,,E2FCF74DAB303062
413298440,32621445,122558051,99,BLTC2,18000,190,1643420288,1643623944,0,0,70,150,1490,0,8600,"SHANGHAI,CN",210,WEI YE FU XING,18400,0,0,,0,5350,02-01 04:00,44C8196225090A87
413360040,38952483,117729710,1,BHJX3,35800,190,1643320942,1643624960,0,0,80,80,890,1,3800,"TIANJIN,CN",130,GUANG SHUN,13050,0,5,广顺,0,0,01-28 07:00,11E6C139022A2E31
